"Category","Name","Version","Identifier","Source","UpdateAvailable"
"Installed Programs","PunkBuster Services","0.993","","",""
"Installed Programs","Starship Troopers: Terran Command","2.05.06","","",""
"Installed Programs","Dual Monitor Tools","2.12.0.0","","",""
"Installed Programs","OpenPencil","0.13.2","","",""
"Installed Programs","FreeTube 0.25.2","0.25.2","","","0.25.3"
"Installed Programs","SnowRunnerModIo","1.0.0.4","","",""
"Installed Programs","GitHub Copilot","1.1.14","","","1.1.22"
"Installed Programs","Tin Can: Escape Pod Simulator","1.0.0.7","","",""
"Installed Programs","GlazeWM","3.9.1","","","3.10.1"
"Installed Programs","Predatohm Winamp","","","",""
"Installed Programs","Megaton Rainfall","1.10","","",""
"Installed Programs","Nebula Terminal 1.4.0","1.4.0","","",""
"Installed Programs","aider-desk","0.68.0","","",""
"Installed Programs","DAEMON Tools Lite","12.6.0.2451","","",""
"Installed Programs","REPLACED version 1.0.1102","1.0.1102","","",""
"Installed Programs","Avowed","","","",""
"Installed Programs","Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61135","11.0.61135","","",""
"Installed Programs","Songs of Conquest - Supporter Pack","1.8.1_cc22406b0b_3811","","",""
"Installed Programs","GitKraken CLI","3.1.70","","","3.1.75"
"Installed Programs","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","","",""
"Installed Programs","Warhammer 40,000 Boltgun","","","",""
"Installed Programs","HITMAN™ 2","","","",""
"Installed Programs","Apple Software Update","2.7.0.3","","",""
"Installed Programs","Halo: The Master Chief Collection","","","",""
"Installed Programs","THE FINALS","","","",""
"Installed Programs","CodeBurn Menubar","0.9.24","","",""
"Installed Programs","RimWorld - Royalty","1.4.3704 rev874","","",""
"Installed Programs","Armored Brigade Nation Pack: Italy - Yugoslavia","1.068","","",""
"Installed Programs","NVIDIA App 11.0.5.420","11.0.5.420","","",""
"Installed Programs","Void Bastards Bang Tydy","","","",""
"Installed Programs","Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","","",""
"Installed Programs","Microsoft Windows Desktop Runtime - 8.0.31 (x64)","8.0.31.36421","","",""
"Installed Programs","Alacritty","0.17.0","","",""
"Installed Programs","iMA Menu","2.0.2","","",""
"Installed Programs","XnView MP (x64)","1.11.2.0","","","1.11.6.0"
"Installed Programs","Ollama version 0.30.7","0.30.7","","","0.34.2"
"Installed Programs","HD2Arsenal","0.36.2","","",""
"Installed Programs","VLADiK BRUTAL","","","",""
"Installed Programs","Atdega Mod Pack 7.5 Fin","7.5 Fin","","",""
"Installed Programs","resvg Explorer Extension 0.47.0","0.47.0","","",""
"Installed Programs","Ship Graveyard Simulator 2","","","",""
"Installed Programs","Ditto","3.25.113.0","","",""
"Installed Programs","ROCCAT Tyon Mouse Driver","","","",""
"Installed Programs","Adobe Premiere Pro 2025","25.2.3","","",""
"Installed Programs","Steam 360 Video Player","","","",""
"Installed Programs","Everything 1.4.1.1032 (x64)","1.4.1.1032","","",""
"Installed Programs","NVIDIA FrameView SDK 1.5.11504.36206172","1.5.11504.36206172","","",""
"Installed Programs","Microsoft Visual Studio Installer","4.8.60.55523","","",""
"Installed Programs","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","","",""
"Installed Programs","S A N D Y BEACH CLEANER","","","",""
"Installed Programs","Songs of Syx","0.70.21","","",""
"Installed Programs","Microsoft .NET SDK 9.0.203 (x64)","9.2.325.16509","","",""
"Installed Programs","ATLauncher","","","","1.3.0.0"
"Installed Programs","THE LAST STARSHIP","","","",""
"Installed Programs","NordVPN","8.11.1.0","","",""
"Installed Programs","Microsoft Update Health Tools","3.74.0.0","","",""
"Installed Programs","ExplorerPatcher","26100.8457.70.2","","",""
"Installed Programs","Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61135","11.0.61135","","",""
"Installed Programs","MSI Afterburner 4.6.6 Beta 5","4.6.6 Beta 5","","",""
"Installed Programs","Songs of Conquest","1.8.1_cc22406b0b_3811","","",""
"Installed Programs","DRILL AND DELVE","","","",""
"Installed Programs","WinFsp 2025","2.1.25156","","",""
"Installed Programs","Dave The Diver","","","",""
"Installed Programs","Prodeus","1.0.2","","",""
"Installed Programs","Windows SDK AddOn","10.1.0.0","","",""
"Installed Programs","Simplenote 2.27.1","2.27.1","","",""
"Installed Programs","LibreOffice 26.2.2.2","26.2.2.2","","","26.8.0.3"
"Installed Programs","Wave 0.14.5","0.14.5","","",""
"Installed Programs","SW: Dark Forces Remaster","","","",""
"Installed Programs","WinHTTrack Website Copier 3.50-beta-1","3.50-beta-1","","",""
"Installed Programs","QuickLook","3.7.3.0","","","4.5.0"
"Installed Programs","AgentPet","0.1.8","","",""
"Installed Programs","WhiteCap","4.7.3","","",""
"Installed Programs","WebM for Premiere","1.5.0","","",""
"Installed Programs","Epic Games Launcher","1.3.128.0","","","1.3.193.0"
"Installed Programs","WorkshopDL","","","",""
"Installed Programs","Typora","1.14.10","","",""
"Installed Programs","Penpot Desktop 0.23.2","0.23.2","","","0.25.0"
"Installed Programs","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60922","","",""
"Installed Programs","EDProfiler","2.2.0.0","","",""
"Installed Programs","TreeSize V9.8.2","9.8.2","","",""
"Installed Programs","WARHAMMER 40000 BOLTGUN V1.18.41193.510","","","",""
"Installed Programs","ASTRO Command Center","1.0.226","","",""
"Installed Programs","Google Chrome","153.0.8010.50","","",""
"Installed Programs","Stardock WindowFX","6.13","","",""
"Installed Programs","RimWorld - Ideology","1.4.3704 rev874","","",""
"Installed Programs","SnowRunner","","","",""
"Installed Programs","AlienFX For Tyon","1.02.008","","",""
"Installed Programs","FileMenu Tools 8.6","8.6","","",""
"Installed Programs","Heavy Metal Death Can version 23429338","23429338","","",""
"Installed Programs","Microsoft .NET SDK 9.0.318 (x64)","9.3.1826.42108","","",""
"Installed Programs","NieR Automata Game of the YoRHa Edition","","","",""
"Installed Programs","Rail Route","","","",""
"Installed Programs","Jan","0.8.4","","",""
"Installed Programs","OneCommander","3.108.0","","",""
"Installed Programs","BULWARK FALCONEER CHRONICLES","","","",""
"Installed Programs","Miniconda3 py310_25.1.1-2 (Python 3.10.16 64-bit)","py310_25.1.1-2","","","py314_26.7.1-1"
"Installed Programs","Going Medieval","0.8.20","","",""
"Installed Programs","LM Studio 0.4.12+1","0.4.12+1","","","0.4.25+1"
"Installed Programs","Deluge 2.2.0","2.2.0","","",""
"Installed Programs","Java 8 Update 503","8.0.5030.1","","",""
"Installed Programs","Process Lasso","18.2.3.42","","",""
"Installed Programs","Controller Companion","","","",""
"Installed Programs","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","","",""
"Installed Programs","MarkText 0.17.1","0.17.1","","","0.19.1"
"Installed Programs","Trepang2","","","",""
"Installed Programs","Dorfromantik","1.1.5.1","","",""
"Installed Programs","UniGetUI","2026.2.0","","","2026.3.0"
"Installed Programs","Please Fix The Road","1.2.0","","",""
"Installed Programs","Starmancer","0.2.17","","",""
"Installed Programs","iTunes","12.13.8.3","","","12.13.11.1"
"Installed Programs","Trailmakers Airborne","","","",""
"Installed Programs","SYNTHETIK: Arena","","","",""
"Installed Programs","Rainmeter Editor","0.2.8","","",""
"Installed Programs","Google Cloud SDK","","","","585.0.0"
"Installed Programs","Songs of Conquest - Vanir","1.8.1_cc22406b0b_3811","","",""
"Installed Programs","Rockstar Games Launcher","1.0.62.937","","","1.0.109.3031"
"Installed Programs","SnowRunner Public Energy","","","",""
"Installed Programs","Trilium Notes","0.103.0","","","0.105.0"
"Installed Programs","Viva Pinata","","","",""
"Installed Programs","STALKER 2 Heart of Chornobyl","","","",""
"Installed Programs","Phantom Fury","","","",""
"Installed Programs","Dual-Core Optimizer","1.1.4.0169","","",""
"Installed Programs","JDownloader 2","2.0.250617","","",""
"Installed Programs","HELL GALAXY","","","",""
"Installed Programs","NVIDIA Graphics Driver 582.66","582.66","","",""
"Installed Programs","ImageMagick 7.1.2-19 Q16-HDRI (64-bit) (2026-04-12)","7.1.2.19","","","7.1.2.31"
"Installed Programs","Zellij","0.44.3","","","0.45.1"
"Installed Programs","NORTHGARD V3.3.16.36098","","","",""
"Installed Programs","Morphyre","","","",""
"Installed Programs","uniTerm","v1.9.2","","",""
"Installed Programs","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","","",""
"Installed Programs","Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61135","11.0.61135","","",""
"Installed Programs","GitHub CLI","2.92.0","","","2.101.0"
"Installed Programs","Star Citizen Launcher","00.01.00.00","","",""
"Installed Programs","Inkscape","1.4.3","","","1.4.4"
"Installed Programs","Sons of Valhalla","","","",""
"Installed Programs","Riot Vanguard","","","",""
"Installed Programs","dupeGuru 4.3.1","4.3.1","","",""
"Installed Programs","Armored Brigade Nation Pack: Czechoslovakia - Netherlands","1.068","","",""
"Installed Programs","Zebar","3.1.1","","",""
"Installed Programs","KEEP DRIVING","","","",""
"Installed Programs","Antigravity (User)","1.23.2","","","2.5.5"
"Installed Programs","GIGABYTE Storage Library","26.02.10.01","","",""
"Installed Programs","R.E.P.O.","","","",""
"Installed Programs","Winaero Tweaker","1.65.0.0","","",""
"Installed Programs","Calmly Writer Pro 3.0.5","3.0.5","","",""
"Installed Programs","Gemini - Thorium","1.0","","",""
"Installed Programs","TortoiseGit 2.19.1.0 (64 bit)","2.19.1.0","","",""
"Installed Programs","Microsoft .NET SDK 7.0.410 (x64)","7.4.1024.27207","","",""
"Installed Programs","STAR WARS Jedi Survivor Deluxe Edition version final","final","","",""
"Installed Programs","ShaderGlass","","","","1.3.0"
"Installed Programs","Intel(R) Graphics Software & Drivers","1.0.1254.0","","",""
"Installed Programs","ConEmu 230724.x64","11.230.7240","","",""
"Installed Programs","Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247","14.51.36247.0","","",""
"Installed Programs","Titanfall™ 2","1.0.1.3","","",""
"Installed Programs","GBT_MB_Update","25.12.03.01","","",""
"Installed Programs","Stalker Complete 2009 v1.4.4","","","",""
"Installed Programs","GIGABYTE Control Center 25.12.10.01","25.12.10.01","","",""
"Installed Programs","TidyTabs 1.22.2","1.22.2","","",""
